Customer_Name,#Purchases,Total_Sales,Average Profit % gained,First_Purchase_Date,Latest_Purchase_Date,Products_Purchased,Location_Count,Avg_delivery_time
Aaron Bergman,6,886.156,15.186974844922526,2014-02-18,2016-11-10,"[""Global Push Button Manager's Chair, Indigo"" 'Newell 330'
 'Carina 42""Hx23 3/4""W Media Storage Unit' 'Akro Stacking Bins'
 'Samsung Convoy 3' 'Sauder Facets Collection Library, Sky Alder Finish']",['Seattle' 'Arlington' 'Oklahoma City'],2.1666666666666665
Aaron Hawkins,11,1744.6999999999998,51.89695762380555,2014-04-22,2017-12-18,"['Avery Fluorescent Highlighter Four-Color Set'
 'Eldon Image Series Desk Accessories, Ebony'
 'Iceberg Nesting Folding Chair, 19w x 6d x 43h' 'EcoTones Memo Sheets'
 'GBC VeloBind Cover Sets' 'Staple envelope'
 'ACCOHIDE 3-Ring Binder, Blue, 1""'
 'Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack'
 'Avery 51' 'Fellowes Super Stor/Drawer Files' 'Geemarc AmpliPOWER60']","['Philadelphia' 'Gulfport' 'Los Angeles' 'San Francisco' 'Troy'
 'New York City']",3.4545454545454546
Aaron Smayling,10,3050.6920000000005,5.4980783804512825,2014-07-27,2017-10-03,"['Cisco CP-7937G Unified IP Conference Station Phone'
 'Avery 3 1/2"" Diskette Storage Pages, 10/Pack'
 'Avery Recycled Flexi-View Covers for Binding Systems'
 'Hanging Personal Folder File' 'Bady BDG101FRU Card Printer' 'Xerox 1998'
 'Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table'
 'Xerox 1956' 'Avery Trapezoid Extra Heavy Duty 4"" Binders'
 'Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors']","['Jacksonville' 'Arlington' 'Austin' 'Pasadena' 'New York City' 'Redmond'
 'San Francisco']",3.5
Adam Bellavance,18,7755.619999999999,58.64072096401573,2015-09-18,2017-11-06,"['Sabrent 4-Port USB 2.0 Hub' 'Xerox 1881' 'Acco Hanging Data Binders'
 'GBC DocuBind P400 Electric Binding System'
 'Acme Forged Steel Scissors with Black Enamel Handles'
 'Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock'
 'Eureka The Boss Lite 10-Amp Upright Vacuum, Blue'
 'Ibico Covers for Plastic or Wire Binding Elements' 'Xerox 231'
 'Logitech G600 MMO Gaming Mouse'
 'Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book'
 'Hon 5100 Series Wood Tables'
 'Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs'
 'SanDisk Cruzer 64 GB USB Flash Drive'
 'Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled'
 'Easy-staple paper' 'Strathmore Photo Mount Cards']","['New York City' 'Concord' 'Waynesboro' 'Philadelphia' 'Los Angeles'
 'Des Moines' 'Seattle' 'Greenwood']",4.055555555555555
Adam Hart,20,3250.3369999999995,34.6523545225074,2014-11-16,2017-11-26,"['GBC DocuBind 300 Electric Binding Machine' 'Newell 347'
 'Howard Miller 12"" Round Wall Clock'
 'Permanent Self-Adhesive File Folder Labels for Typewriters by Universal'
 'Office Star - Mesh Screen back chair with Vinyl seat' 'Xerox 1949'
 'Avery Metallic Poly Binders' 'Compact Automatic Electric Letter Opener'
 'OIC #2 Pencils, Medium Soft' 'Xerox 214'
 'WD My Passport Ultra 1TB Portable External Hard Drive'
 'KI Adjustable-Height Table'
 'Eldon 400 Class Desk Accessories, Black Carbon'
 'Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting'
 'Office Impressions End Table, 20-1/2""H x 24""W x 20""D'
 'Wirebound Message Book, 4 per Page'
 'Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum'
 'Premier Electric Letter Opener' 'OIC Binder Clips'
 'Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”']","['New York City' 'Atlanta' 'Henderson' 'Huntington Beach' 'Knoxville'
 'Chester' 'Columbus' 'Arlington' 'Cranston' 'Los Angeles']",2.5
Adam Shillingsburg,25,3255.3100000000004,32.20340731073751,2014-09-22,2017-12-02,"['Newell 309' 'Binder Posts'
 'Bevis Round Conference Table Top & Single Column Base'
 '#10- 4 1/8"" x 9 1/2"" Recycled Envelopes' 'Xerox 1978'
 'Hanging Personal Folder File' 'Staple envelope'
 'Logitech Trackman Marble Mouse'
 'Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry'
 'GBC DocuBind TL300 Electric Binding System'
 'Logitech 910-002974 M325 Wireless Mouse for Web Scrolling'
 'SpineVue Locking Slant-D Ring Binders by Cardinal'
 'Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""'
 ""O'Sullivan Living Dimensions 5-Shelf Bookcases""
 'Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set'
 'Insertable Tab Indexes For Data Binders' 'Akro Stacking Bins'
 'Sterilite Show Offs Storage Containers' 'Avery 502'
 'Belkin 7-Outlet SurgeMaster Home Series' 'Computer Room Manger, 14""'
 'Cardinal Holdit Business Card Pockets'
 'Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink'
 'Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms']","['Charlottesville' 'Springfield' 'Philadelphia' 'New York City' 'Chicago'
 'Irving' 'San Diego']",4.08
Adrian Barton,20,14473.571,13.329701784778134,2014-12-20,2017-11-19,"['Bevis Boat-Shaped Conference Table'
 '3M Polarizing Task Lamp with Clamp Arm, Light Gray'
 'GBC Imprintable Covers' 'LG G3' 'Avery 487'
 'Ibico Ibimaster 300 Manual Binding System'
 'Aastra 6757i CT Wireless VoIP phone'
 'Belkin 19"" Center-Weighted Shelf, Gray' 'Akro Stacking Bins'
 'Sony Micro Vault Click 16 GB USB 2.0 Flash Drive'
 'Polycom VoiceStation 500 Conference\xa0phone' 'Plastic Binding Combs'
 'GBC Ibimaster 500 Manual ProClick Binding System' 'Lumber Crayons'
 'Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black'
 'Tenex Chairmats For Use with Hard Floors'
 'Avery Recycled Flexi-View Covers for Binding Systems'
 'Fellowes Recycled Storage Drawers' 'Canon PC170 Desktop Personal Copier'
 'Kensington K72356US Mouse-in-a-Box USB Desktop Mouse']","['Phoenix' 'Henderson' 'Pearland' 'Indianapolis' 'Portland'
 'New York City' 'Detroit' 'Houston' 'Bloomington']",4.45
Adrian Hane,16,1735.514,18.082963012706937,2014-07-18,2017-10-31,"['Office Star - Ergonomically Designed Knee Chair' 'Xerox 1891'
 'Xerox 1942' 'Vinyl Sectional Post Binders' 'Newell 312'
 'Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book'
 'Sony Micro Vault Click 8 GB USB 2.0 Flash Drive'
 'Iceberg OfficeWorks 42"" Round Tables' 'Avery White Multi-Purpose Labels'
 'Macally Suction Cup Mount' 'Newell 350'
 'GBC Prestige Therm-A-Bind Covers'
 'Logitech Desktop MK120 Mouse and keyboard Combo'
 'White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11'
 'Wilson Jones Four-Pocket Poly Binders'
 'Kingston Digital DataTraveler 16GB USB 2.0']",['Tucson' 'San Francisco' 'Salem' 'Dallas' 'Louisville' 'Houston' 'Aurora'],3.375
Adrian Shami,3,58.82,66.50036284470247,2016-11-13,2017-11-19,"['Avery Printable Repositionable Plastic Tabs' 'Xerox 1898'
 'Eldon Image Series Desk Accessories, Burgundy']",['New York City' 'Auburn'],4.0
Aimee Bixby,12,966.71,42.398502450795085,2014-03-05,2017-11-19,"['Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack'
 'Xerox 1901' 'Acme Elite Stainless Steel Scissors'
 'Boston School Pro Electric Pencil Sharpener, 1670'
 'Telescoping Adjustable Floor Lamp' 'Xerox 1952' 'Xerox 1994'
 'Newell 345' 'Logitech Wireless Gaming Headset G930'
 'Acme Forged Steel Scissors with Black Enamel Handles'
 'GBC Wire Binding Combs' 'Xerox 1891']",['Long Beach' 'Carrollton' 'Tulsa' 'Dallas' 'Yonkers'],2.8333333333333335
